_id,Year,RoadAccidents,AccidentsPerLakhPopulation,Accidentsper10000Vehicles,PersonsKilled,PersonsKilledPerLakhPopulation,PersonsKilledper10000Vehicles ,PersonsInjured,InjuryPerLakhPopulation,RoadAccidentsPer10000Vehicles,InjuryPer10000KmOfRoads
Telangana,2018,22230,NA,20.3,6603,NA,6,23613,0,20.0625579,1717.725529
Tripura,2018,552,14,12.7,213,5.5,4.9,741,18.97081413,18.75301634,188.8231068
Uttarakhand,2018,1468,13.3,5.9,1047,9.6,4.2,1571,14.43005419,5.873957846,275.6963523
Uttar Pradesh,2018,42568,18.7,14.5,22256,9.9,7.6,29664,13.19402746,9.84255183,663.0719589
West Bengal,2018,12705,13.3,14.8,5711,6,6.7,11997,12.61394821,11.37781132,296.4519413
Andaman and Nicobar Islands,2018,254,43.2,19.4,19,3.3,1.4,260,45.2173913,15.78477798,1153.734253
Chandigarh,2018,316,15.6,3.3,98,5,1,300,15.45595054,2.892337724,1082.975623
Dadra and Nagar Haveli,2018,80,17.1,6.8,54,11.9,4.6,66,14.60176991,8.934193285,884.5613713
Daman and Diu,2018,76,20.3,NA,35,9.7,0,94,26.18384401,NA,2020.312329
Delhi,2018,6515,28.1,6.1,1690,7.5,1.6,6086,27.02126715,4.821090474,2927.880429
Lakshadweep,2018,3,3.6,1.7,1,1.2,0.6,3,3.614457831,0.552883286,44.55533773
Puducherry,2018,1597,85.5,16,226,12.6,2.3,1727,96.05116796,16.22470464,3771.383793
Andhra Pradesh,2019,21992,24.2,18.3,7984,8.8,6.7,24619,27.25451124,16.40566853,
Arunachal Pradesh,2019,237,17.3,10.3,127,9.4,5.5,309,22.82127031,8.038026382,
Assam,2019,8350,24.7,21.2,3208,9.6,8.1,7473,22.29681346,13.38492886,
Bihar,2019,10007,9.2,11.7,7205,6.7,8.4,7206,6.716188381,8.202794211,
Chhattisgarh,2019,13899,51.4,21.8,5003,18.7,7.8,13090,48.87611082,16.47774383,
Goa,2019,3440,158.5,24.5,297,14,2.1,1448,68.39867737,6.276519185,
Gujarat,2019,17046,26,6.8,7390,11.4,2.9,16258,25.05432186,4.762493361,
Haryana,2019,10944,37.7,12.7,5057,17.7,5.9,9362,32.69882295,8.906157773,
Himachal Pradesh,2019,2873,39.3,17.6,1146,15.8,7,4904,67.55751481,19.71462424,
Jammu and Kashmir,2019,5796,45,31.3,996,7.8,5.4,7532,58.93583725,31.79691407,
Jharkhand,2019,5217,14.8,11.4,3801,10.9,8.3,3818,10.94390461,7.19796456,
Karnataka,2019,40658,63.1,19.3,10958,17.1,5.2,50447,78.90233984,18.74274669,
Kerala,2019,41111,112.9,30.8,4440,12.3,3.3,46055,127.0798267,22.8796675,
Madhya Pradesh,2019,50669,61.7,38.4,11249,13.9,8.5,52816,65.1237346,35.19694713,
Maharashtra,2019,32925,26.2,9.3,12788,10.3,3.6,28628,23.02655921,5.626668748,
Manipur,2019,672,24.9,18.6,156,5.8,4.3,1055,39.46876169,18.31643506,
Meghalaya,2019,482,16.7,13.2,179,6.3,4.9,222,7.762237762,6.014149654,
Mizoram,2019,62,5.6,2.7,48,4.4,2.1,56,5.109489051,2.911370185,
Nagaland,2019,358,14.5,7.3,26,1.1,0.5,246,10.02444988,5.840453513,
Odisha,2019,11064,25.3,13.4,5333,12.3,6.4,11177,25.72382048,10.65346098,
Punjab,2019,6348,21.1,6,4525,15.1,4.3,3812,12.76282309,2.750147143,
Rajasthan,2019,23480,30.6,13.3,10563,13.9,6,22979,30.3041093,9.46868904,
Sikkim,2019,162,24.1,22.6,73,10.9,10.2,318,47.67616192,30.37480842,
Tamil Nadu,2019,57228,81,19,10525,15,3.5,67137,95.44097578,16.75251095,
Telangana,2019,21570,NA,17.8,6964,NA,5.7,21999,0,15.38636337,
Tripura,2019,655,16.4,13.2,239,6.1,4.8,816,20.67916878,9.478500945,
Uttarakhand,2019,1352,12.1,4.9,867,7.9,3.1,1457,13.23342416,3.10242545,
Uttar Pradesh,2019,42572,18.4,13,22655,9.9,6.9,28932,12.68101967,6.850685683,
West Bengal,2019,10158,10.5,10.4,5500,5.7,5.6,9757,10.1767927,8.526281386,
Andaman and Nicobar Islands,2019,230,38.3,16.3,20,3.4,1.4,207,35.20408163,10.27996966,
Chandigarh,2019,305,14.4,3,104,5.1,1,275,13.56015779,1.463491812,
Dadra and Nagar Haveli,2019,68,14,5.5,49,10.5,4,105,22.43589744,9.633911368,
Daman and Diu,2019,69,17.6,NA,28,7.5,0,74,19.78609626,NA,
Delhi,2019,5610,23.6,4.9,1463,6.3,1.3,5152,22.24140908,3.214663218,
Lakshadweep,2019,1,1.2,0.6,0,0,0,1,1.19047619,0.552883286,
Puducherry,2019,1392,71.6,13.1,147,7.9,1.4,1619,86.67023555,9.590055705,
Andhra Pradesh,2020,19509,21.5, ,7039,7.7,,21.63300311,21.63300311,,
Arunachal Pradesh,2020,134,9.8, ,73,5.3,,13.53328456,13.53328456,,
Assam,2020,6595,19.5, ,2629,7.8,,15.56297259,15.56297259,,
Bihar,2020,8639,8, ,6699,6.2,,6.473996973,6.473996973,,
Chhattisgarh,2020,11656,43.1, ,4606,17,,38.81253233,38.81253233,,
Goa,2020,2375,109.4, ,223,10.3,,40.55299539,40.55299539,,
Gujarat,2020,13398,20.4, ,6170,9.4,,18.31471647,18.31471647,,
Haryana,2020,9431,32.5, ,4507,15.5,,26.40852355,26.40852355,,
Himachal Pradesh,2020,2239,30.6, ,893,12.2,,44.0842566,44.0842566,,
Jammu and Kashmir,2020,4860,37.7, ,728,5.6,,45.73246431,45.73246431,,
Jharkhand,2020,4405,12.5, ,3044,8.6,,9.340098645,9.340098645,,
Karnataka,2020,34178,53.1, ,9760,15.2,,61.31346064,61.31346064,,
Kerala,2020,27877,76.6, ,2979,8.2,,83.79566053,83.79566053,,
Madhya Pradesh,2020,45266,55.1, ,11141,13.6,,56.56122921,56.56122921,,
Maharashtra,2020,24971,19.9, ,11569,9.2,,15.84109585,15.84109585,,
Manipur,2020,432,16, ,127,4.7,,24.57375834,24.57375834,,
Meghalaya,2020,214,7.4, ,144,5,,7.620367163,7.620367163,,
Mizoram,2020,53,4.8, ,42,3.8,,6.148282098,6.148282098,,
Nagaland,2020,500,20.2, ,53,2.1,,11.54622527,11.54622527,,
Odisha,2020,9817,22.4, ,4738,10.8,,20.15904209,20.15904209,,
Punjab,2020,5203,17.3, ,3898,12.9,,9.647520016,9.647520016,,
Rajasthan,2020,19114,24.9, ,9250,12.1,,21.84629815,21.84629815,,
Sikkim,2020,138,20.5, ,47,7,,32.3922734,32.3922734,,
Tamil Nadu,2020,45484,64.4, ,8059,11.4,,71.58474588,71.58474588,,
Telangana,2020,19172,NA, ,6882,NA,,0,0,,
Tripura,2020,466,11.7, ,192,4.8,,11.80015064,11.80015064,,
Uttarakhand,2020,1041,9.4, ,674,6.1,,7.673645431,7.673645431,,
Uttar Pradesh,2020,34243,14.8, ,19149,8.3,,9.670946165,9.670946165,,
West Bengal,2020,9180,9.5, ,4927,5.1,,8.603686111,8.603686111,,
Andaman and Nicobar Islands,2020,141,23.5, ,14,2.3,,24.12645591,24.12645591,,
Chandigarh,2020,159,7.5, ,53,2.5,,6.974552309,6.974552309,,
Dadra and Nagar Haveli,2020,100,20.6, ,64,13.2,,24.48559671,24.48559671,,
Daman and Diu,2020,NA,0, ,NA,0,,0,0,,
Delhi,2020,4178,17.5, ,1196,5,,15.37492653,15.37492653,,
Lakshadweep,2020,1,1.2, ,0,0,,1.176470588,1.176470588,,
Puducherry,2020,969,49.8, ,145,7.5,,52.41769547,52.41769547,,
